"","date","firm1","difference"
"1","2020-04-01",0.960517857951537,-0.116444739426923
"2","2020-04-02",1.00597868857345,0.0132275369563218
"3","2020-04-03",1.05578660527604,0.0730906852579682
"4","2020-04-06",1.0419346687347,0.0397657114535957
"5","2020-04-07",0.979807203532859,-0.0957381618963493
"6","2020-04-08",0.997705295464553,0.0939170390831169
"7","2020-04-09",1.08170716197394,0.0028641137482097
"8","2020-04-10",1.03456098596932,0.0130247628802046
"9","2020-04-13",1.03260130389584,-0.102599529856791
"10","2020-04-14",0.962336886550527,-0.0756424205998666
"11","2020-04-15",1.0098798056482,-0.00154730571821817
"12","2020-04-16",0.972971369286267,0.0264595183704386
"13","2020-04-17",1.17129695646367,0.131834083372726
"14","2020-04-20",1.04632527502448,0.00905160163371781
"15","2020-04-21",0.985406747997043,-0.0142876082207614
"16","2020-04-22",1.05154267718652,0.105360920148286
"17","2020-04-23",0.971124999865753,0.00660915431863855
"18","2020-04-24",0.958621607302847,-0.0372678655892373
"19","2020-04-27",1.00453750138633,0.0241522088787941
"20","2020-04-28",0.927929357289348,-0.0251972230429803
"21","2020-04-30",1.04481159153564,0.0582215837618675
