firm_ID,year,R,Re,R_F,industry_ID,sales,OX,NFE,X,OA,FA,OL,FO,BE,lagged_BE,ROE,ME
1,2015,NA,NA,0.007432088693772432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3577.294
1,2016,0.9972726459805057,0.9967076570160867,5.649889644190331e-4,1,5948.96,564.14,50.66749760937501,513.48,13865.58,4642.16,4534.22,3959.7,10013.82,NA,NA,6883.324
1,2017,0.6878638158193953,0.6878149677816958,4.88480376994449e-5,1,6505.06,691.18,29.54315702499928,661.64,13952.58,7743.99,5111.22,6159.02,10426.33,10013.82,0.06607268754581169,11376.99
1,2018,-0.2136128668567404,-0.2193989753781499,0.005786108521409483,1,6846.38,751.29,86.48650016801827,664.8,18818.48,7284.72,5137.28,10123.91,10842.010000000002,10426.33,0.06376164959290564,8694.752
1,2019,0.6468357601052919,0.647605691193608,-7.699310883161337e-4,1,7572.24,958.53,298.0497738191198,660.48,18190,9735.13,5487.96,11362.22,11074.95,10842.010000000002,0.06091859350803032,13957.518
1,2020,-0.28430311798704644,-0.2846830616042474,3.799436172009507e-4,1,7537.63,778.37,-65.45877194758576,843.83,20462.86,10274.25,5371.38,13772.15,11593.58,11074.95,0.07619266904139523,9708.946
2,2015,NA,NA,0.005786108521409483,1,3505.75,45.82,5.751119126670516,40.07,2977.82,2258.33,1840.35,2340.89,1054.9100000000003,NA,NA,4086.732
2,2016,0.3752285625030458,0.37599849359136195,-7.699310883161337e-4,1,3491.27,51.25,1.876541032191374,49.37,3184.8,1881.83,1769.17,2215.87,1081.59,1054.9100000000003,0.04680020096501122,5592.864
2,2017,0.6407323153146092,0.6403523716974082,3.799436172009507e-4,1,3945.66,83.43,7.527881494414544,75.9,3392.2,2425.21,1955.26,2727.35,1134.8,1081.59,0.07017446537042686,9152.528
2,2018,-0.21968937065199812,-0.22339737325578246,0.003708002603784344,1,4139.33,93.4,6.816627151105772,86.58,3569.31,2331.02,2022.12,2694.5,1183.71,1134.8,0.07629538244624604,7103.688
2,2019,0.40818644590922526,0.40075435721545283,0.007432088693772432,1,4416.98,99.23,8.088746500036693,91.14,3740.78,2898.54,2171.83,3230.33,1237.1600000000003,1183.71,0.07699520997541627,9962.68
2,2020,-0.47546774388319935,-0.4760327328476184,5.649889644190331e-4,1,4606.51,97.44,7.344431316269265,90.1,3823.98,3265.64,2184.43,3625.63,1279.56,1237.1600000000003,0.07282809014193796,5194.044
3,2015,NA,NA,0.003708002603784344,1,440789.92,-8246.19,188.31525962032907,-8434.51,69759.59,63529.92,31278.65,8390.5,93620.36,NA,NA,70434.234
3,2016,0.37526382439847983,0.3678317357047074,0.007432088693772432,1,264724.73,3152.22,245.51542270084803,2906.7,66679.77,60246.71,30884.68,214.85,95826.95,93620.36,0.03104773363400867,96064.839
3,2017,0.3868203213997605,0.3862553324353415,5.649889644190331e-4,1,260378.6,5403.41,349.43567286115376,5053.97,70503.83,60542.99,29973.69,892.31,100180.82,95826.95,0.05274059124286017,132546.843
3,2018,-0.1749261568756154,-0.17497500491331486,4.88480376994449e-5,1,251250.36,7001.84,397.0254620586077,6604.82,70766,65358.81,29595.73,1648.61,104880.47,100180.82,0.0659289872053353,107515.395
3,2019,0.6586872942281086,0.6529011857066991,0.005786108521409483,1,254890.51,9116.46,458.9966341955992,8657.46,75076.32,69255.41,31964.67,2163.9,110203.16000000002,104880.47,0.08254596875853054,174487.833
3,2020,0.2538194424596125,0.25458937354792865,-7.699310883161337e-4,1,266675.81,13555.98,468.29223832292985,13087.69,76819.88,80170.59,34486.28,3891.52,118612.67,110203.16000000002,0.1187596617011708,214032.195
4,2015,NA,NA,4.88480376994449e-5,1,39725.12,440.42,-3.5041381533990075,443.93,16626.5,15754,4980.04,15113.52,12286.94,NA,NA,14518.674
4,2016,-0.18551779217321873,-0.19130390069462822,0.005786108521409483,1,37981.34,406.14,21.8576566482477,384.28,16942.19,12811.88,4473.95,13139.09,12141.029999999995,12286.94,0.03127548437609364,11592.135
4,2017,0.1965347194455549,0.19730465053387103,-7.699310883161337e-4,1,39282.14,354.96,-10.049564910551885,365.01,17940.42,14240.99,5232.13,14728.73,12220.549999999996,12141.029999999995,0.03006417083229348,13644.513
4,2018,-0.24020225263412853,-0.24058219625132948,3.799436172009507e-4,1,39489.45,289.86,-15.486507225758528,305.35,17670.57,14475.18,4652.51,15261.25,12231.99,12220.549999999996,0.02498660043942376,10223.883
4,2019,-0.0938432402976136,-0.09755124290139794,0.003708002603784344,1,38544.01,262.74,2.7267848518639135,260.01,17347.66,16062.78,4478.99,16648.34,12283.11,12231.99,0.02125655760019424,9134.349
4,2020,-0.04239251040221914,-0.04982459909599157,0.007432088693772432,1,38169.72,269.39,3.520879569977698,265.87,17559.81,14310.51,4577.9,14913.11,12379.31,12283.11,0.0216451696679424,8652.927
5,2015,NA,NA,3.799436172009507e-4,1,420761.86,11191.47,-862.8172073763714,12054.29,217325.71,97300.95,110877.02,57162.6,146587.03999999998,NA,NA,59856.474
5,2016,0.20815181251352732,0.20444380990974298,0.003708002603784344,1,409491.04,4096.52,-1916.6320071473913,6013.15,217001.07,79202.36,96204.32,50176.22,149822.89,146587.03999999998,0.04102102068504829,70044.81
5,2017,0.3013409354872769,0.2939088467935045,0.007432088693772432,1,413161.01,4241.23,-1410.8091870268172,5652.04,233127.9,70255.6,93491.6,57778.16,152113.74,149822.89,0.03772480960686314,89023.692
5,2018,-0.0046315719253883225,-0.005196560889807356,5.649889644190331e-4,1,411007.27,2242.03,-598.194821784154,2840.22,246092.76,67800.88,94921.29,68421.97,150550.38000000003,152113.74,0.01867168606859577,87843.336
5,2019,1.177176068447181,1.1771272204094816,4.88480376994449e-5,1,418723.93,12698.85,29.722073013224165,12669.13,247638.24,89789.57,117644.12,57325.84,162457.85,150550.38000000003,0.08415209579676913,190410.06
5,2020,0.2392330974560246,0.23344698893461513,0.005786108521409483,1,421763.28,16837.23,-1464.6767889851485,18301.91,250307.97,96107.05,125462.08,40954.86,179998.08000000002,162457.85,0.11265635978809271,235170.402
6,2015,NA,NA,5.649889644190331e-4,1,26110.53,-2403.6,102.44528971338198,-2506.05,8654.31,5145.44,2885.32,3342.57,7571.859999999999,NA,NA,5428.92
6,2016,0.1130434782608698,0.11299463022317036,4.88480376994449e-5,1,19820.3,-252.68,-57.82171577469801,-194.86,8808.52,4626.65,2165.4,3892.76,7377.01,7571.859999999999,-0.02573476001933475,6042.624
6,2017,-0.33984375,-0.3456298585214095,0.005786108521409483,1,14239.64,-43.1,-24.651750365658327,-18.45,8855.96,4611.58,1766.3,4294.44,7406.799999999999,7377.01,-0.00250101328315943,4024.904
