year,firm_ID,industry_ID,ROE,NOA,RNOA,PM,ATO,NFO,lagged_FLEV,NBC,ROE_DuPont
2015,1,1,,8632.59,,0.08315087239137872,,-1062.71,,,
2016,1,1,0.05296174435035533,9331.36,0.06535002820706184,0.09483002070950217,0.6891280600607697,-682.46,-0.10961084236692006,-0.04767763322954993,0.05296097102623178
2017,1,1,0.06607268754581169,8841.36,0.07407066065396684,0.10625267099765412,0.6971181049707652,-1584.9699999999993,-0.06815181419278557,-0.04328921405650042,0.06607237227901047
2018,1,1,0.06376164959290564,13681.2,0.08497448356361464,0.10973536379809476,0.774358243528145,2839.1899999999996,-0.15201609770647959,-0.05456664805517979,0.06376198526537927
2019,1,1,0.060918593508030326,12702.04,0.07006183668099289,0.12658473582453805,0.5534777651083238,1627.0900000000001,0.2618693397257519,0.1049770440932519,0.060918614369556943
2020,1,1,0.07619266904139523,15091.48,0.061279133115625516,0.10326455397784184,0.5934188524048105,3497.8999999999996,0.14691623889949842,-0.04023057848526249,0.07619255815580077
2015,2,1,0.0034562231855906457,1137.4700000000003,0.0030361501986551354,0.013069956500035656,0.23229994672490703,82.55999999999995,0.301710084374283,0.0016441633913692548,0.0034561266557292473
2016,2,1,0.04680020096501122,1415.63,0.04505613334857182,0.01467947194001037,3.069329300992553,334.03999999999996,0.07826260060099906,0.022729421417046695,0.046803479887202334
2017,2,1,0.07017446537042686,1436.9399999999998,0.0589348911791923,0.021144751448426882,2.787211347597889,302.1399999999999,0.3088416128107693,0.022535868442146285,0.07017642406603745
2018,2,1,0.07629538244624604,1547.19,0.06499923448439045,0.022564038141438352,2.8806561164697206,363.48,0.2662495593937257,0.022561154269894006,0.07629835464301571
2019,2,1,0.07699520997541627,1568.9500000000003,0.0641356265229222,0.022465576027059217,2.8548400648918357,331.78999999999996,0.30706845426667007,0.022253621932531893,0.07699626893408294
2020,2,1,0.07282809014193796,1639.5500000000002,0.062105229612160986,0.02115267306485821,2.9360464004589053,359.99000000000024,0.26818681496330293,0.022135782622349276,0.07282450829620317
2015,3,1,-6.591726843602489,38480.939999999995,-5.029544692141136,-0.01870775538605783,268.84811076209934,-55139.42,0.28133889774610044,0.5231124742918662,-6.5917231389073825
2016,3,1,0.031047733634008673,35795.090000000004,0.0819163980921464,0.011907538823441241,6.879372749210389,-60031.86,-0.5889682543412567,-0.00445262976471004,0.031047782526142292
2017,3,1,0.05274059124286017,40530.14,0.15095394368333756,0.020752127863042508,7.274142906191882,-59650.68,-0.6264611364548281,-0.005820837016563434,0.052740636398621116
2018,3,1,0.0659289872053353,41170.270000000004,0.17275637340507582,0.027867979970257556,6.199099238245908,-63710.2,-0.5954301432150385,-0.006655841342606785,0.06592893268333593
2019,3,1,0.08254596875853054,43111.65000000001,0.22143308751679303,0.03576618054552128,6.191130395792886,-67091.51000000001,-0.6074553250953204,-0.0072044450369893554,0.08254600085034325
2020,3,1,0.1187596617011708,42333.600000000006,0.31443890456523926,0.05083318205727021,6.185701776665935,-76279.06999999999,-0.6087984228401436,-0.006979903095383154,0.11875964139029285
2015,4,1,0.0037426861734079506,11646.46,0.010403556513029839,0.011086687717998082,0.9383827503448796,-640.4799999999996,-0.6430937774185506,4.5938396383162614e-5,0.0037426367533367148
2016,4,1,0.03127548437609364,12468.239999999998,0.03487239899505944,0.01069314563414561,3.261191812791183,327.21000000000095,-0.052126892456543256,-0.034126993267936105,0.031275675094999435
